business_name,partner_type,contact_name,contact_email,contact_title,website,destination_or_venue,distance_km,notes,email_template,status
Sunsail (Tortola base),Charter Partner,,,,"https://www.sunsail.com",BVI,,Major bareboat and skippered charter operator with extensive Caribbean fleet; Tortola is a flagship base,Charter Partner,prospect
Dream Yacht Charter (Sardinia),Charter Partner,,,,"https://www.dreamyachtcharter.com",Sardinia,,Global charter company with 50+ destinations; Sardinia base covers Maddalena archipelago and Costa Smeralda,Charter Partner,prospect
The Moorings (BVI),Charter Partner,,,,"https://www.moorings.com",BVI,,Premium bareboat and crewed charter fleet; strong brand recognition among experienced charterers,Charter Partner,prospect
Plain Sailing (Croatia),Sailing School,,,,"https://www.plainsailing.com",Croatia,,Flotilla holidays and learn-to-sail packages in the Adriatic; well-positioned for charter training,Sailing School,prospect
Sunsail Sailing School,Sailing School,,,,"https://www.sunsail.com/sailing-school",UK/Global,,RYA-accredited sailing school with locations in the UK and Mediterranean; feeds directly into their charter business,Sailing School,prospect
Bobby's Megastore,Provisioning & Services,,,,,"BVI",,Well-known BVI provisioner on Tortola; supplies charter yachts with groceries and provisions pre-departure,Provisioning & Services,prospect
Riggers & Jiggers,Provisioning & Services,,,,,"Croatia",,Marine chandlery and rigging services based in Split; serves the charter fleet turnaround market,Provisioning & Services,prospect
IGY Marinas,Marina Listing,,,,"https://www.igymarinas.com",Caribbean/Med,,Network of premium marinas across the Caribbean and Mediterranean; strong superyacht and cruiser presence,Marina Listing,prospect
Ancasta Yacht Brokerage,Yacht Broker,,,,"https://www.ancasta.com",UK/Med,,One of Europe's largest yacht brokerages; offices across the UK and Mediterranean with broad inventory,Yacht Broker,prospect
Horizon Yacht Charters,Charter Partner,,,,"https://www.horizonyachtcharters.com",BVI/Grenada,,Independent charter company operating in the BVI and Grenada; strong reputation for personal service,Charter Partner,prospect
